Week,Deleted,Sent,Total,Description
1,637,324,961,Normal
2,620,279,899,Travel
3,794,466,1260,Normal
4,682,333,1015,Travel
5,890,477,1367,Normal
6,719,412,1131,Normal
7,613,323,936,Travel
8,693,367,1060,Normal
9,645,327,972,Normal
10,746,397,1143,Normal
11,713,438,1151,Normal
12,738,322,1060,Travel
13,559,199,758,Travel
14,698,365,1063,Normal
15,783,337,1120,Normal
16,427,120,547,Travel
17,631,288,919,Travel
18,574,292,866,Normal
19,475,162,637,Travel
20,640,324,964,Normal
21,714,342,1056,Travel
22,672,286,958,Normal
23,555,164,719,Travel
24,757,413,1170,Normal
25,625,373,998,Normal
26,613,303,916,Normal
27,485,254,739,Holiday
28,618,274,892,Normal
29,609,353,962,Normal
30,563,276,839,Normal
31,589,287,876,Normal
32,580,332,912,Normal
33,638,344,982,Normal
34,619,316,935,Normal
35,684,415,1099,Normal
36,677,351,1028,Normal
37,533,167,700,Travel
38,748,317,1065,Normal
39,505,156,661,Vacation
40,642,358,1000,Travel
41,729,471,1200,Normal
42,604,343,947,Normal
43,576,350,926,Normal
44,606,333,939,Travel
45,635,368,1003,Normal
46,543,236,779,Travel
47,568,312,880,Vacation
48,624,317,941,Normal
49,644,304,948,Normal
50,679,301,980,Normal
51,669,353,1022,Holiday
52,177,23,200,Holiday
